Date,Open,High,Low,Close,Volume,50_day_MA,100_day_MA,Log_return,Volatility,Risk-free Rate
2017-09-06,145.06,145.46,144.08,145.13,30722723.0,142.279,140.378,0.003036369733281283,0.1521426080485834,0.021
2017-09-07,145.4,145.84,144.94,145.47,22721131.0,142.42780000000002,140.5179,0.0023399873030991603,0.1521861275901083,0.020499999999999997
2017-09-08,145.28,145.35,144.06,144.21,27890115.0,142.5116,140.6472,-0.008699309211391554,0.13289824047499682,0.0206
2017-09-11,145.3,146.12,145.3,145.87,27126332.0,142.6772,140.791,0.01144524352414275,0.13607588277753466,0.021400000000000002
2017-09-12,146.25,146.41,145.53,146.22,30256661.0,142.8488,140.9273,0.002396522767047889,0.12926940034551512,0.0217
2017-09-13,145.95,146.44,145.73,146.42,28450864.0,143.0534,141.0659,0.0013668673533267048,0.12928489486970918,0.022000000000000002
2017-09-14,145.85,146.2869,145.47,145.56,35296413.0,143.214,141.1799,-0.005890831474537409,0.1313881011916771,0.022000000000000002
2017-09-15,145.56,146.59,145.29,146.06,46422402.0,143.4094,141.2892,0.0034291234480045944,0.10531670256462361,0.022000000000000002
2017-09-18,145.88,146.37,145.11,145.55,24858157.0,143.5652,141.39530000000002,-0.003497826000331402,0.1066015516626008,0.0223
2017-09-19,145.81,146.01,145.31,145.8,20871237.0,143.708,141.4958,0.001716149382925475,0.10609383409806496,0.022400000000000003
2017-09-20,145.75,145.91,144.23,145.35,34236155.0,143.834,141.5894,-0.0030911925696729694,0.09448586803244348,0.022799999999999997
2017-09-21,145.25,145.26,143.95,144.46,28841835.0,143.9092,141.66199999999998,-0.006141974382184067,0.09646538803853444,0.0227
2017-09-22,144.0,144.53,143.855,144.32,21702401.0,143.97539999999998,141.7309,-0.0009695963083873779,0.09574889069176235,0.0226
2017-09-25,143.75,143.8299,142.1,142.8,54947712.0,143.989,141.789,-0.010588006408829372,0.1034834536764061,0.0222
2017-09-26,143.51,143.8,142.67,143.17,29612794.0,144.0086,141.8503,0.0025876854667519177,0.10331689755647627,0.022400000000000003
2017-09-27,143.93,145.0,143.57,144.46,33249403.0,144.035,141.9195,0.0089699172504647,0.10716690035355099,0.0231
2017-09-28,144.14,144.5566,143.78,144.41,24149422.0,144.0436,141.9852,-0.0003461764842270389,0.09872037198541686,0.0231
2017-09-29,144.7,145.555,144.32,145.45,43102366.0,144.0692,142.0565,0.0071759088027368535,0.09437277096136862,0.0233
2017-10-02,145.67,146.17,144.93,145.58,27246253.0,144.09859999999998,142.1283,0.0008933787489013323,0.09436095129733771,0.023399999999999997
2017-10-03,145.74,146.06,145.45,145.89,19715152.0,144.121,142.2043,0.0021271493936921844,0.08858228552582505,0.0233
2017-10-04,145.6,146.34,145.47,146.03,26381099.0,144.15359999999998,142.2786,0.0009591669685760334,0.08807176998510492,0.0233
2017-10-05,146.54,147.54,146.4063,147.46,31562353.0,144.2054,142.3628,0.009744872509124574,0.09405550374324508,0.0235
2017-10-06,146.97,147.66,146.96,147.66,23546199.0,144.27939999999998,142.4432,0.001355381069514992,0.08728595405049394,0.023700000000000002
